model,metric,mean,std,median,q1,q3,iqr,min,max
Logistic Regression (tuned),test_accuracy,0.7932213788807992,0.08604318572866666,0.7961783439490446,0.749465145302193,0.8222610722610723,0.07279592695887926,0.5786163522012578,0.9407894736842104
Logistic Regression (tuned),test_auc,0.8708234116647339,0.10367102723320967,0.8857843137254903,0.8114758077042559,0.9551372710375211,0.14366146333326524,0.6003179650238473,0.9756097560975612
Logistic Regression (tuned),test_f1,0.8183774907410778,0.08391879392370631,0.8202247191011236,0.7916075650118204,0.8657577955039883,0.07415023049216796,0.6035502958579881,0.9426751592356688
Logistic Regression (tuned),inner_auc_oof,0.7920614674276883,0.03851558214368807,0.7901909872482834,0.7702521022697904,0.8099943836155135,0.03974228134572311,0.72862629688747,0.8660358565737052
SVM (RBF),test_accuracy,0.8049383186004155,0.1007403830283664,0.8321678321678322,0.7500442595379304,0.8776915113871635,0.1276472518492331,0.5786163522012578,0.9507042253521126
SVM (RBF),test_auc,0.857336314908838,0.13076818145589605,0.8938004402054291,0.8121744629491241,0.9442157544836116,0.13204129153448751,0.5368839427662957,0.9898829597302125
SVM (RBF),test_f1,0.827949977367181,0.09027254852627337,0.8545454545454545,0.7899064716590296,0.883219954648526,0.09331348298949638,0.6081871345029239,0.9496402877697842
SVM (RBF),inner_auc_oof,0.7894823547027575,0.040655920797199346,0.7901480240189918,0.7710525841803467,0.8086348256556604,0.03758224147531364,0.7173064492069017,0.8608143195239082
XGBoost (tuned),test_accuracy,0.802171351460877,0.10168197368507916,0.8111888111888111,0.7587242562929062,0.8724087323426895,0.11368447604978327,0.5563380281690141,0.9671052631578948
XGBoost (tuned),test_auc,0.8753181940429038,0.08977856559237966,0.8826118855465884,0.8130913875335781,0.95123677466875,0.13814538713517188,0.6939368770764119,0.9890243902439024
XGBoost (tuned),test_f1,0.82446086535618,0.09148855558808337,0.8169014084507042,0.7886439070649597,0.8905246445839647,0.10188073751900506,0.6181818181818182,0.968944099378882
XGBoost (tuned),inner_auc_oof,0.7936362349308648,0.05713814817709846,0.7932337390263369,0.7473400295314545,0.8417678921410265,0.09442786260957203,0.697424841298359,0.8830629861506355
